nodes time label
1 0.112 start_et1000
1 0.11 start_et1000
1 0.111 start_et1000
1 0.113 start_et1000
1 0.012 start_et1000
1 0.113 start_et1000
1 0.114 start_et1000
3 1.066 start_et1000
3 1.066 start_et1000
3 1.053 start_et1000
3 1.053 start_et1000
3 1.048 start_et1000
3 1.048 start_et1000
3 1.053 start_et1000
3 1.053 start_et1000
3 1.049 start_et1000
3 1.049 start_et1000
3 1.047 start_et1000
3 1.047 start_et1000
3 1.049 start_et1000
3 1.049 start_et1000
5 1.898 start_et1000
5 1.898 start_et1000
5 1.907 start_et1000
5 1.907 start_et1000
5 1.909 start_et1000
5 1.909 start_et1000
5 1.911 start_et1000
5 1.911 start_et1000
5 1.909 start_et1000
5 1.909 start_et1000
5 1.91 start_et1000
5 1.91 start_et1000
5 1.908 start_et1000
5 1.908 start_et1000
7 2.465 start_et1000
7 2.465 start_et1000
7 2.458 start_et1000
7 2.458 start_et1000
7 2.452 start_et1000
7 2.452 start_et1000
7 2.459 start_et1000
7 2.459 start_et1000
7 2.45 start_et1000
7 2.45 start_et1000
7 2.453 start_et1000
7 2.453 start_et1000
7 2.447 start_et1000
7 2.447 start_et1000
9 3.358 start_et1000
9 3.358 start_et1000
9 3.341 start_et1000
9 3.341 start_et1000
9 3.348 start_et1000
9 3.348 start_et1000
9 3.347 start_et1000
9 3.347 start_et1000
9 3.355 start_et1000
9 3.355 start_et1000
9 3.334 start_et1000
9 3.334 start_et1000
9 3.328 start_et1000
9 3.328 start_et1000
11 3.826 start_et1000
11 3.826 start_et1000
11 3.819 start_et1000
11 3.819 start_et1000
11 3.903 start_et1000
11 3.903 start_et1000
11 3.919 start_et1000
11 3.919 start_et1000
11 3.904 start_et1000
11 3.904 start_et1000
11 3.923 start_et1000
11 3.923 start_et1000
11 3.81 start_et1000
11 3.81 start_et1000
13 4.405 start_et1000
13 4.405 start_et1000
13 4.377 start_et1000
13 4.377 start_et1000
13 4.395 start_et1000
13 4.395 start_et1000
13 4.379 start_et1000
13 4.379 start_et1000
13 4.388 start_et1000
13 4.388 start_et1000
13 4.4 start_et1000
13 4.4 start_et1000
13 4.384 start_et1000
13 4.384 start_et1000
15 4.904 start_et1000
15 4.904 start_et1000
15 4.955 start_et1000
15 4.955 start_et1000
15 4.862 start_et1000
15 4.862 start_et1000
15 4.868 start_et1000
15 4.868 start_et1000
15 4.876 start_et1000
15 4.876 start_et1000
15 4.97 start_et1000
15 4.97 start_et1000
15 4.886 start_et1000
15 4.886 start_et1000
17 5.467 start_et1000
17 5.467 start_et1000
17 5.442 start_et1000
17 5.442 start_et1000
17 5.445 start_et1000
17 5.445 start_et1000
17 5.44 start_et1000
17 5.44 start_et1000
17 5.447 start_et1000
17 5.447 start_et1000
17 5.611 start_et1000
17 5.611 start_et1000
17 5.474 start_et1000
17 5.474 start_et1000
19 5.951 start_et1000
19 5.951 start_et1000
19 6.05 start_et1000
19 6.05 start_et1000
19 5.963 start_et1000
19 5.963 start_et1000
19 5.947 start_et1000
19 5.947 start_et1000
19 5.952 start_et1000
19 5.952 start_et1000
19 5.972 start_et1000
19 5.972 start_et1000
19 5.939 start_et1000
19 5.939 start_et1000
21 6.945 start_et1000
21 6.945 start_et1000
21 6.902 start_et1000
21 6.902 start_et1000
21 6.898 start_et1000
21 6.898 start_et1000
21 6.921 start_et1000
21 6.921 start_et1000
21 6.903 start_et1000
21 6.903 start_et1000
21 6.892 start_et1000
21 6.892 start_et1000
21 6.915 start_et1000
21 6.915 start_et1000
23 7.443 start_et1000
23 7.443 start_et1000
23 7.426 start_et1000
23 7.426 start_et1000
23 7.528 start_et1000
23 7.528 start_et1000
23 7.506 start_et1000
